!
!Date: 09/26/2016
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Gene	Gene Systematic Name	Phenotype	Experiment Type	Experiment Type Category	Mutant Information	Strain Background	Chemical	Details	Reference
OYE2	YHR179W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
OYE3	YPL171C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PAA1	YDR071C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PAA1	YDR071C	viable 	classical genetics	classical genetics	null				Liu B, et al. (2005) PMID:15723835
PAC1	YOR269W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PAC10	YGR078C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PAC11	YDR488C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PAC11	YDR488C	viable 	classical genetics	classical genetics	null	Other			Geiser JR, et al. (1997) PMID:9201714
PAC2	YER007W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PAC2	YER007W	viable 	classical genetics	classical genetics	null	S288C			Hoyt MA, et al. (1997) PMID:9215891
PAD1	YDR538W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PAD1	YDR538W	viable 	classical genetics	classical genetics	null	Other			Clausen M, et al. (1994) PMID:8181743
PAF1	YBR279W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PAH1	YMR165C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PAI3	YMR174C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PAL1	YDR348C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PAM1	YDR251W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PAM17	YKR065C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PAN2	YGL094C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PAN2	YGL094C	viable 	classical genetics	classical genetics	null				Lillo JA, et al. (2000) PMID:10669874
PAN3	YKL025C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PAN3	YKL025C	viable 	classical genetics	classical genetics	null	Other			Brown CE, et al. (1996) PMID:8816488
PAN6	YIL145C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PAP2	YOL115W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PAR32	YDL173W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PAR32	YDL173W	viable 	systematic mutation set	large-scale survey	null	S288C			Huang RY, et al. (2005) PMID:15994967
PAT1	YCR077C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PAU11	YGL261C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PAU13	YHL046C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PAU17	YLL025W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PAU2	YEL049W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PAU23	YLR037C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PAU24	YBR301W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PAU4	YLR461W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PAU5	YFL020C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PAU5	YFL020C	viable 	classical genetics	classical genetics	null	S288C			Luo Z and van Vuuren HJ (2008) PMID:18312373
PAU7	YAR020C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PAU8	YAL068C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PBA1	YLR199C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PBA1	YLR199C	viable 	classical genetics	classical genetics	null				Li X, et al. (2007) PMID:17431397
PBI1	YPL272C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PBI2	YNL015W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PBP1	YGR178C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PBP2	YBR233W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PBP2	YBR233W	viable 	classical genetics	classical genetics	null	Other			Mangus DA, et al. (1998) PMID:9819425
PBP2	YBR233W	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
PBP4	YDL053C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PBP4	YDL053C	viable 	classical genetics	classical genetics	null				Mangus DA, et al. (2004) PMID:15121841
PBS2	YJL128C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PBY1	YBR094W	viable 	classical genetics	classical genetics	null	S288C			Olmezer G, et al. (2015) PMID:26068713
PCA1	YBR295W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PCA1	YBR295W	viable 	classical genetics	classical genetics	null	S288C			Rad MR, et al. (1994) PMID:7754711
PCC1	YKR095W-A	viable 	classical genetics	classical genetics	null	W303		Details: viable but grows poorly at all temperatures 	Kisseleva-Romanova E, et al. (2006) PMID:16874308
PCD1	YLR151C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PCD1	YLR151C	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
PCH2	YBR186W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PCI8	YIL071C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PCK1	YKR097W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PCL1	YNL289W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PCL10	YGL134W	viable 	classical genetics	classical genetics	null	CEN.PK			Escribano MV and Mazon MJ (2000) PMID:10806424
PCL10	YGL134W	viable 	classical genetics	classical genetics	null	S288C			Escribano MV and Mazon MJ (2000) PMID:10806424
PCL2	YDL127W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PCL6	YER059W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PCL7	YIL050W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PCL8	YPL219W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PCL9	YDL179W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PCP1	YGR101W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PCS60	YBR222C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PCT1	YGR202C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PDA1	YER178W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PDB1	YBR221C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PDC1	YLR044C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PDC5	YLR134W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PDC5	YLR134W	viable 	classical genetics	classical genetics	null	Other			Hohmann S (1991) PMID:1744053
PDC6	YGR087C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PDC6	YGR087C	viable 	classical genetics	classical genetics	null	Other			Hohmann S (1991) PMID:1744053
PDE1	YGL248W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PDE1	YGL248W	viable 	classical genetics	classical genetics	null	Other			Nikawa J, et al. (1987) PMID:2824992
PDE2	YOR360C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PDH1	YPR002W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PDP3	YLR455W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PDR1	YGL013C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PDR10	YOR328W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PDR11	YIL013C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PDR12	YPL058C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PDR15	YDR406W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PDR16	YNL231C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PDR16	YNL231C	viable 	classical genetics	classical genetics	null	S288C			Capozzo C, et al. (2000) PMID:10953080
PDR17	YNL264C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PDR18	YNR070W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PDR3	YBL005W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PDR5	YOR153W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PDR8	YLR266C	viable 	classical genetics	classical genetics	null				Akache B, et al. (2001) PMID:11353088
PDR8	YLR266C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PDX1	YGR193C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PDX3	YBR035C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PDX3	YBR035C	viable 	classical genetics	classical genetics	null	FL100			Loubbardi A, et al. (1995) PMID:7896706
PEA2	YER149C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PEF1	YGR058W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PEF1	YGR058W	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
PEF1	YGR058W	viable 	classical genetics	classical genetics	null	S288C			Yoshibori M, et al. (2012) PMID:22792405
PEP1	YBL017C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PEP12	YOR036W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PEP12	YOR036W	viable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null	S288C			Dowell RD, et al. (2010) PMID:20413493
PEP3	YLR148W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PEP4	YPL154C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PEP5	YMR231W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PEP7	YDR323C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PEP7	YDR323C	viable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null	S288C			Dowell RD, et al. (2010) PMID:20413493
PEP8	YJL053W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PER1	YCR044C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PER33	YLR064W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PES4	YFR023W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PES4	YFR023W	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
PET10	YKR046C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PET100	YDR079W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PET100	YDR079W	viable 	classical genetics	classical genetics	null Allele: pet100-1	Other			Church C, et al. (1996) PMID:8702496
PET111	YMR257C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PET112	YBL080C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PET112	YBL080C	viable 	classical genetics	classical genetics	null	Other			Mulero JJ, et al. (1994) PMID:8082172
PET117	YER058W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PET122	YER153C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PET123	YOR158W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PET127	YOR017W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PET130	YJL023C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PET18	YCR020C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PET18	YCR020C	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
PET20	YPL159C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PET309	YLR067C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PET309	YLR067C	viable 	classical genetics	classical genetics	null	Other			Manthey GM and McEwen JE (1995) PMID:7664742
PET494	YNR045W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PET54	YGR222W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PET8	YNL003C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PET9	YBL030C	viable 	classical genetics	classical genetics	null	W303		Details: W303 background contains full-length SAL1 which suppresses the pet9 null mutations: other strain backgrounds contain a truncated sal1-1, rendering the pet9 null mutant inviable 	Lawson JE, et al. (1990) PMID:2167308
PEX1	YKL197C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PEX10	YDR265W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PEX11	YOL147C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PEX11	YOL147C	viable 	classical genetics	classical genetics	null	W303			Marshall PA, et al. (1995) PMID:7721939
PEX12	YMR026C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PEX12	YMR026C	viable 	classical genetics	classical genetics	null	Other			Albertini M, et al. (2001) PMID:11370741
PEX13	YLR191W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PEX14	YGL153W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PEX15	YOL044W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PEX17	YNL214W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PEX18	YHR160C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PEX19	YDL065C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PEX2	YJL210W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PEX21	YGR239C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PEX22	YAL055W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PEX22	YAL055W	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
PEX25	YPL112C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PEX27	YOR193W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PEX28	YHR150W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PEX28	YHR150W	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
PEX29	YDR479C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PEX3	YDR329C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PEX30	YLR324W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PEX31	YGR004W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PEX32	YBR168W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PEX34	YCL056C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PEX4	YGR133W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PEX5	YDR244W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PEX6	YNL329C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PEX7	YDR142C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PEX8	YGR077C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PFA3	YNL326C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PFA3	YNL326C	viable 	classical genetics	classical genetics	null	S288C			Maftahi M, et al. (1998) PMID:9544246
PFA3	YNL326C	viable 	classical genetics	classical genetics	null	W303			Maftahi M, et al. (1998) PMID:9544246
PFA4	YOL003C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PFA5	YDR459C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PFD1	YJL179W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PFF1	YBR074W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PFK1	YGR240C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PFK1	YGR240C	viable 	classical genetics	classical genetics	null				Heinisch J (1986) PMID:2965996
PFK2	YMR205C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PFK2	YMR205C	viable 	classical genetics	classical genetics	null				Heinisch J (1986) PMID:2965996
PFK26	YIL107C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PFK27	YOL136C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PFS1	YHR185C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PFS1	YHR185C	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
PFY1	YOR122C	viable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null	Sigma1278b			Dowell RD, et al. (2010) PMID:20413493
PGC1	YPL206C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PGD1	YGL025C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PGD1	YGL025C	viable 	classical genetics	classical genetics	null	Other			Brohl S, et al. (1994) PMID:7975891
PGM1	YKL127W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PGM2	YMR105C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PGU1	YJR153W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PHA2	YNL316C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PHB1	YGR132C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PHB1	YGR132C	viable 	classical genetics	classical genetics	null	Other			Piper PW, et al. (2002) PMID:12882345
PHB2	YGR231C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PHB2	YGR231C	viable 	classical genetics	classical genetics	null	Other			Piper PW, et al. (2002) PMID:12882345
PHD1	YKL043W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PHM6	YDR281C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PHM7	YOL084W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PHM8	YER037W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PHO13	YDL236W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PHO2	YDL106C	viable 	classical genetics	classical genetics	null	Other			Arndt KT, et al. (1987) PMID:3303332
PHO23	YNL097C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PHO23	YNL097C	viable 	classical genetics	classical genetics	null	S288C			Zuniga S, et al. (1999) PMID:10407274
PHO23	YNL097C	viable 	classical genetics	classical genetics	null	W303			Zuniga S, et al. (1999) PMID:10407274
PHO3	YBR092C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PHO4	YFR034C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PHO5	YBR093C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PHO8	YDR481C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PHO80	YOL001W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PHO81	YGR233C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PHO84	YML123C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PHO85	YPL031C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PHO86	YJL117W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PHO87	YCR037C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PHO88	YBR106W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PHO88	YBR106W	viable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null	S288C			Dowell RD, et al. (2010) PMID:20413493
PHO89	YBR296C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PHO90	YJL198W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PHO90	YJL198W	viable 	systematic mutation set comparison of deletion mutant phenotypes between S288C and Sigma1278b strains	large-scale survey	null	S288C			Dowell RD, et al. (2010) PMID:20413493
PHO91	YNR013C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PHO91	YNR013C	viable 	classical genetics	classical genetics	null	S288C			Volckaert G, et al. (2003) PMID:12489128
PHO92	YDR374C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PHO92	YDR374C	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
PHR1	YOR386W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PIB1	YDR313C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PIB1	YDR313C	viable 	classical genetics	classical genetics	null	S288C			Erpapazoglou Z, et al. (2008) PMID:18489705
PIB2	YGL023C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PIC2	YER053C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PIF1	YML061C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PIG1	YLR273C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PIG1	YLR273C	viable 	classical genetics	classical genetics	null				Cheng C, et al. (1997) PMID:9046081
PIG2	YIL045W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PIG2	YIL045W	viable 	classical genetics	classical genetics	null				Cheng C, et al. (1997) PMID:9046081
PIH1	YHR034C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PIK1	YNL267W	viable 	classical genetics	classical genetics	null	JK9-3d			Garcia-Bustos JF, et al. (1994) PMID:8194527
PIK1	YNL267W	viable 	classical genetics	classical genetics	unspecified Allele: pik1(delta152-191) deletion amino acids 152-191, frq1 binding site deleted	S288C			Huttner IG, et al. (2003) PMID:12477731
PIK1	YNL267W	viable 	classical genetics	classical genetics	null	JK9-3d	1 M calcium dichloride		Garcia-Bustos JF, et al. (1994) PMID:8194527
PIL1	YGR086C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PIM1	YBL022C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
PIM1	YBL022C	viable 	classical genetics	classical genetics	null	S288C			Van Dyck L, et al. (1994) PMID:8276800
PIM1	YBL022C	viable 	classical genetics	classical genetics	null	Other			Suzuki CK, et al. (1994) PMID:8146662
